class,org,org_type,pi_first,pi_sur,pclass,status,owner,end,grant,scheme,start,total
Materials Synthesis & Growth,University of St Andrews,LEAD ORGANISATION,Russell,Morris,Materials sciences,Closed,EPSRC,8/2/2015,Research Grant,Standard Research,1/15/2014,178816.868
Surfaces & Interfaces,Technical University of Munich,PROJECT PARTNER,Paul,Sherwood,Catalysis & surfaces,Active,EPSRC,7/15/2016,Research Grant,Standard Research,1/16/2014,474548.72
Climate & Climate Change,University of Leeds,LEAD ORGANISATION,Emanuel,Gloor,Climate & climate change,Active,NERC,7/16/2017,Research Grant,Standard Grant (FEC),1/17/2014,664676.33
Multiprotein complexes,University of Sheffield,LEAD ORGANISATION,C,Sanders,,Active,BBSRC,1/19/2017,Research Grant,Responsive Mode,1/20/2014,289427.144
Animal behaviour,University of Warwick,LEAD ORGANISATION,Bruno,Frenguelli,,Active,BBSRC,1/26/2017,Research Grant,Responsive Mode,1/27/2014,589907.824
Electronic Devices & Subsys.,University of York,LEAD ORGANISATION,Gianluca,Tempesti,Info. & commun. Technol.,Active,EPSRC,1/26/2018,Research Grant,Standard Research,1/27/2014,1323232.328
Structural Biology,The University of Manchester,LEAD ORGANISATION,Royston,Goodacre,Biomolecules & biochemistry,Closed,BBSRC,3/30/2014,Research Grant,Standard Grant,1/31/2014,409321.596
Product Design,University of the West of England,LEAD ORGANISATION,Stephen,Hoskins,,Closed,AHRC,1/30/2015,Research Grant,Follow-on Funding Impact & Eng,1/31/2014,23948.128
Magnetism/Magnetic Phenomena,Open University,PROJECT PARTNER,Aidan,Hindmarch,"Supercond, magn. &quant.fluids",Active,EPSRC,1/30/2016,Research Grant,First Grant - Revised 2009,1/31/2014,93149.856
Water In The Atmosphere,National Oceanography Centre,LEAD ORGANISATION,Aylmer,Nurser,Atmospheric phys. & chemistry,Active,NERC,1/30/2017,Research Grant,Standard Grant (FEC),1/31/2014,156212.584
Waste Management,ClimateXchange,COLLABORATOR,Roger,Street,,Active,EPSRC,1/30/2018,Research Grant,Standard Research,1/31/2014,1223982
